BookCode,BranchNum,CopyNum,Quality,Price
0180,1,1,Excellent,7.19
0180,1,2,Excellent,7.19
0189,2,1,Excellent,7.99
0189,2,2,Good,5.99
0200,1,1,Excellent,8
0200,2,1,Excellent,8
0200,2,2,Fair,3.5
0200,2,3,Poor,2.25
0378,3,1,Excellent,24.5
0378,3,2,Excellent,24.5
079X,2,1,Excellent,25.95
079X,3,1,Excellent,25.95
079X,3,2,Good,19.95
079X,4,1,Excellent,25.95
079X,4,2,Excellent,25.95
079X,4,3,Good,19.95
0808,2,1,Excellent,7.99
1351,2,1,Excellent,21.95
1351,2,2,Excellent,21.95
1351,2,3,Excellent,21.95
1351,2,4,Excellent,21.95
1351,3,1,Excellent,21.95
1351,3,2,Good,13.95
1382,2,1,Good,34.5
138X,2,1,Excellent,12.95
138X,2,2,Excellent,12.95
138X,2,3,Good,6.95
2226,1,1,Excellent,14.96
2226,1,2,Excellent,14.96
2226,1,3,Good,8.95
2226,3,1,Excellent,14.95
2226,3,2,Excellent,14.95
2226,4,1,Fair,3.95
2281,4,1,Excellent,21
2766,3,1,Excellent,7.95
2766,3,2,Good,3.95
2908,1,1,Excellent,14.95
2908,1,2,Excellent,14.95
2908,1,3,Good,8.5
2908,4,1,Good,8.5
3350,1,1,Excellent,10.4
3350,1,2,Excellent,10.4
3743,2,1,Excellent,5.99
3906,2,1,Excellent,12.16
3906,3,1,Excellent,12.16
3906,3,2,Good,4.5
5163,1,1,Excellent,7.95
5790,4,1,Excellent,12
5790,4,2,Good,5.95
6128,2,1,Excellent,12.95
6128,2,2,Excellent,12.95
6128,2,3,Excellent,12.95
6128,2,4,Excellent,12.95
6128,3,1,Excellent,12.95
6128,3,2,Excellent,12.95
6128,3,3,Good,4.75
6328,2,1,Excellent,9.95
6328,2,2,Excellent,9.95
669X,1,1,Excellent,39.95
669X,2,1,Excellent,39.95
6908,2,1,Excellent,5.99
6908,2,2,Excellent,5.99
7405,3,1,Good,5
7405,3,2,Fair,2.95
7443,4,1,Good,9.25
7559,2,1,Fair,3.65
7559,2,2,Good,8
8092,3,1,Good,9.5
8720,1,1,Excellent,6.29
8720,1,2,Excellent,6.29
8720,1,3,Good,3.95
9611,1,1,Excellent,18.81
9611,1,2,Good,8.25
9627,3,1,Excellent,14
9627,3,2,Excellent,14
9627,3,3,Excellent,14
9627,3,4,Excellent,14
9627,3,5,Good,6.5
9627,4,1,Excellent,14
9627,4,2,Good,6.5
9701,1,1,Excellent,13
9701,1,2,Excellent,13
9701,2,1,Excellent,13
9701,3,1,Fair,4
9701,3,2,Fair,4
9701,3,3,Good,7.25
9701,4,1,Excellent,13
9701,4,2,Poor,1.55
9882,3,1,Excellent,6.99
9882,3,2,Good,3.75
9882,3,3,Excellent,6.99
9883,2,1,Excellent,5.99
9883,2,2,Excellent,5.99
9883,2,3,Fair,1.95
9883,4,1,Good,3.99
9883,4,2,Excellent,5.99
9931,1,1,Excellent,13
9931,1,2,Excellent,13
