PublisherCode,PublisherName,City
AH,Arkham House,Sauk City WI
AP,Arcade Publishing,New York
BA,Basic Books,Boulder CO
BP,Berkley Publishing,Boston
BY,Back Bay Books,New York
CT,Course Technology,Boston
FA,Fawcett Books,New York
FS,Farrar Straus & Giroux,New York
HC,HarperCollins Publishers,New York
JP,Jove Publications,New York
JT,Jeremy P. Tarcher,Los Angeles
LB,Lb Books,New York
MP,McPherson and Co.,Kingston
PE,Penguin USA,New York
PL,Plume,New York
PU,Putnam Publishing Group,New York
RH,Random House,New York
SB,Schoken Books,New York
SC,Scribner,New York
SS,Simon & Schuster,New York
ST,Scholastic Trade,New York
TA,Taunton Press,Newtown CT
TB,Tor Books,New York
TH,Thames and Hudson,New York
TO,Touchstone Books,Westport CT
VB,Vintage Books,New York
WN,W.W. Norton,New York
WP,Westview Press,Boulder CO
